Compound_Name,File_Name,Pose_Number,Affinity,CNNaffinity,CNNvariance,Intramolecular_energy,SMILES
 ZINC000046074601,IHAAMM.xaa_ligand_0074_docked.pdbqt,1.0,-6.69227,5.82404,0.07472,-0.44201,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C][C]=C([C]=[C]1)[C][C]	
 ZINC000046074595,IHAAMM.xaa_ligand_0075_docked.pdbqt,1.0,-6.53815,5.95385,0.1039,-0.4216,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=C([C]=[C][C]=[C]1)[C][C]	
 ZINC000046074604,IHAAMM.xaa_ligand_0076_docked.pdbqt,3.0,-6.2708,5.34834,0.05949,-1.11229,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C]C(=[C]C(=[C]1)[C])[C]	
 ZINC000046074555,IHAAMM.xaa_ligand_0077_docked.pdbqt,4.0,-6.33738,5.64435,0.01437,-0.6549,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C]C(=[C][C]=[C]1)Cl	
 ZINC000046074336,IHAAMM.xaa_ligand_0078_docked.pdbqt,9.0,-5.37033,5.81555,0.21205,-1.57672,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C][C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=C([C]=[C][C]=[C]1)[C][C]	
 ZINC000046074545,IHAAMM.xaa_ligand_0079_docked.pdbqt,1.0,-6.75005,5.76222,0.05293,-0.31345,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C][C]=[C][C]=C1Cl	
 ZINC000046074352,IHAAMM.xaa_ligand_0080_docked.pdbqt,3.0,-6.09939,5.94889,0.15589,-0.5465,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C][C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C]C(=[C]C(=[C]1)[C])[C]	
 ZINC000046074349,IHAAMM.xaa_ligand_0081_docked.pdbqt,5.0,-5.37172,5.82829,0.11069,-1.60938,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C][C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C]C(=[C]C(=[C]1)[C])[C]	
 ZINC000046074339,IHAAMM.xaa_ligand_0082_docked.pdbqt,2.0,-6.33751,5.99185,0.0768,-0.58725,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C][C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=C([C]=[C][C]=[C]1)[C][C]	
 ZINC000046074592,IHAAMM.xaa_ligand_0083_docked.pdbqt,3.0,-6.00377,5.75269,0.12148,-1.04745,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C][C]=[C][C]=C1[C][C]	
 ZINC000046074598,IHAAMM.xaa_ligand_0084_docked.pdbqt,3.0,-5.91342,5.80125,0.40593,-0.59687,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C][C]=C([C]=[C]1)[C][C]	
 ZINC000046074346,IHAAMM.xaa_ligand_0085_docked.pdbqt,1.0,-6.60844,5.98666,0.06392,-0.55647,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C][C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C][C]=C([C]=[C]1)[C][C]	
 ZINC000046074342,IHAAMM.xaa_ligand_0086_docked.pdbqt,3.0,-5.99735,5.37064,0.1484,-0.83059,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C][C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C][C]=C([C]=[C]1)[C][C]	
 ZINC000046074607,IHAAMM.xaa_ligand_0087_docked.pdbqt,1.0,-6.27952,5.74995,0.11668,-0.44412,[C]1([C]C(=O)NC2=C1C(=O)[N]C(=N2)S[C]C1=[C][C]=[C][C]=[C]1)C(=O)NC1=[C]C(=[C]C(=[C]1)[C])[C]	
